City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,matoury,4.8483,-52.3317,26.98,89,0,1.54,GF,1698710642
269,pacasmayo,-7.4006,-79.5714,19.73,83,97,6.19,PE,1698710642
270,ketchikan,55.3422,-131.6461,6.99,79,98,0.64,US,1698710425
271,usinsk,65.9939,57.5281,-8.85,81,100,3.13,RU,1698710644
272,northam,51.0333,-4.2167,12.03,96,87,3.19,GB,1698710644
273,rudbar,30.15,62.6,22.42,28,4,1.38,AF,1698710645
274,tapa,59.2606,25.9586,-0.28,91,92,2.86,EE,1698710646
275,karystos,38.0133,24.4161,18.99,70,0,2.11,GR,1698710646
276,pirane,-25.7324,-59.1088,20.78,96,86,2.56,AR,1698710646
277,polyarnyy,69.1989,33.4478,-5.58,90,100,7.67,RU,1698710647
278,terrace,54.5163,-128.6035,6.79,48,75,2.06,CA,1698710359
279,tyukhtet,56.5389,89.3011,-6.33,77,100,4.83,RU,1698710648
280,tralee,52.2704,-9.7026,7.75,92,15,1.82,IE,1698710649
281,penarroya-pueblonuevo,38.3,-5.2667,10.81,67,100,0.75,ES,1698710649
282,port-vila,-17.7338,168.3219,24.78,78,100,5.14,VU,1698710520
283,mwinilunga,-11.7358,24.4293,17.28,92,99,1.6,ZM,1698710650
284,lazaro cardenas,17.9583,-102.2,27.41,84,11,2.64,MX,1698710411
285,igarka,67.4667,86.5833,-17.26,96,96,1.39,RU,1698710558
286,bonthe,7.5264,-12.505,25.72,86,45,2.26,SL,1698710653
287,newman,37.3138,-121.0208,23.9,31,1,0.45,US,1698710653
288,nuku'alofa,-21.1333,-175.2,28.19,74,75,6.69,TO,1698710653
289,fortuna,40.5982,-124.1573,17.74,44,0,3.09,US,1698710654
290,grand falls-windsor,48.9332,-55.6649,1.39,81,100,0.89,CA,1698710654
291,ravar,31.2656,56.8055,19.81,28,100,2.97,IR,1698710654
292,soio,-6.1349,12.3689,25.46,89,34,3.48,AO,1698710655
293,dauphin,51.1494,-100.0502,-4.92,63,40,8.75,CA,1698710409
294,pokhara,28.2333,83.9833,16.94,46,32,2.89,NP,1698710655
295,bontang,0.1333,117.5,28.89,69,8,1.43,ID,1698710656
296,le vauclin,14.5452,-60.8388,28.03,83,75,3.09,MQ,1698710656
297,mzuzu,-11.4656,34.0207,17.93,80,82,1.4,MW,1698710656
298,singkil,-7.9855,111.4161,27.8,69,20,1.62,ID,1698710657
299,nar'yan-mar,67.6713,53.087,-6.61,95,95,4.47,RU,1698710463
300,arkhangel'sk,64.5401,40.5433,-8.26,97,64,1.95,RU,1698710658
301,nemuro,43.3236,145.575,11.2,75,24,4.91,JP,1698710420
302,volosovo,59.4333,29.4833,-0.45,98,80,1.66,RU,1698710658
303,dhi as sufal,13.8345,44.1147,16.7,77,85,0.54,YE,1698710659
304,whangarei,-35.7317,174.3239,17.65,98,100,3.16,NZ,1698710659
305,kovdor,67.5662,30.4758,-13.56,98,86,2.17,RU,1698710660
306,vikhorevka,56.1201,101.1636,-9.23,71,5,1.51,RU,1698710660
307,happy valley-goose bay,53.3168,-60.3315,-1.83,50,20,3.09,CA,1698710661
308,mariental,-24.6333,17.9667,19.82,12,0,4.04,NA,1698710662
309,barguzin,53.6167,109.6167,-8.12,68,7,0.68,RU,1698710662
310,gazojak,41.1875,61.4036,11.55,77,28,4.72,TM,1698710662
311,puerto ayacucho,5.6639,-67.6236,27.79,76,51,1.93,VE,1698710663
312,lagos,6.5833,3.75,24.18,93,96,1.34,NG,1698710581
313,howrah,22.5892,88.3103,24.0,83,23,1.54,IN,1698710663
314,arno,60.1167,18.6333,2.66,97,100,8.26,SE,1698710664
315,phrai bueng,14.7483,104.3626,24.5,94,100,2.44,TH,1698710664
316,tomatlan,19.9333,-105.25,26.65,82,55,3.28,MX,1698710664
317,hasaki,35.7333,140.8333,20.16,54,0,2.65,JP,1698710665
318,walvis bay,-22.9575,14.5053,14.53,94,5,2.57,NA,1698710665
319,lata,40.1629,-8.3327,11.71,93,91,1.59,PT,1698710666
320,ta`u,-14.2336,-169.5144,26.92,80,28,11.27,AS,1698710666
321,pariaman,-0.619,100.12,23.03,89,100,0.76,ID,1698710666
322,derzhavinsk,51.1,66.3167,2.08,93,100,6.83,KZ,1698710667
323,jabor,5.921,169.6434,28.63,74,79,4.62,MH,1698710667
324,novyy turtkul',41.55,61.0167,7.95,81,19,3.95,UZ,1698710667
325,nova sintra,14.8667,-24.7167,23.88,68,65,2.21,CV,1698710499
326,east london,-33.0153,27.9116,13.88,84,68,4.21,ZA,1698710518
327,gidam,18.9833,81.4,16.07,91,1,1.23,IN,1698710668
328,kimbo,10.4,-13.55,22.49,97,75,0.23,GN,1698710669
329,taroa,8.7058,171.2275,28.1,81,92,8.21,MH,1698710669
330,kimbe,-5.5502,150.1429,26.61,84,100,0.97,PG,1698710669
331,sakata,38.9167,139.855,12.1,87,40,2.57,JP,1698710670
332,chui,-33.6971,-53.4616,14.65,94,100,8.1,UY,1698710670
333,bengkulu,-3.8004,102.2655,24.08,88,84,0.87,ID,1698710671
334,caohe,30.2297,115.4335,20.18,60,1,0.88,CN,1698710671
335,peace river,56.2501,-117.286,2.17,69,100,1.54,CA,1698710427
336,la passe,45.5549,-0.8967,14.99,83,69,11.8,FR,1698710672
337,egilsstadir,65.2653,-14.3948,-5.05,86,0,2.57,IS,1698710672
338,dudinka,69.4058,86.1778,-16.32,97,100,0.89,RU,1698710470
339,tazacorte,28.629,-17.9293,23.54,96,75,0.89,ES,1698710673
340,veinticinco de mayo,-35.4323,-60.1727,14.43,47,51,0.45,AR,1698710673
341,jerada,34.31,-2.16,15.04,75,54,0.75,MA,1698710674
342,holualoa,19.6228,-155.9522,27.7,75,20,5.14,US,1698710674
343,la malbaie,47.6575,-70.1559,1.48,91,92,1.25,CA,1698710674
